,-,traw,t,-.1,-.2,ECG,Ax,Ay,Az,Amag,Aave,Smooth
32,67,28.5599999999994,0.639999999999997,0,86903,509,0.211731,0.974048,0.092049,1.0010357341603746,0.42594266666666675,
33,67,28.5799999999994,0.6600000000000001,5,536936130,542,0.194651,0.947635,0.079849,0.9707095177379276,0.40737833333333334,
34,67,28.5999999999994,0.6799999999999997,0,86903,540,0.186233,0.952454,0.078141,0.9736310226600219,0.4056093333333333,
35,67,28.6199999999994,0.6999999999999993,536878210,102105,547,0.184586,0.960872,0.090463,0.982614138993023,0.4119736666666666,
36,67,28.6399999999994,0.7199999999999989,116621,536878210,556,0.203069,0.982405,0.067954,1.005472201953888,0.4178093333333333,
37,67,28.6599999999994,0.7399999999999984,0,86903,547,0.201544,0.974597,0.086681,0.99898593188593,0.4209406666666667,
38,67,28.6799999999994,0.759999999999998,-582,302,564,0.199592,0.973316,0.069418,0.9959918980815055,0.4141086666666667,
39,67,28.6999999999994,0.7799999999999976,116621,536878210,563,0.20313,0.977525,0.079117,1.0015370298765793,0.419924,
40,67,28.7199999999994,0.7999999999999972,-596,-17,562,0.204899,0.973438,0.082594,0.9981918196824697,0.42031033333333334,
41,67,28.7399999999994,0.8200000000000003,-596,-17,548,0.204228,0.968375,0.082716,0.9931269572743456,0.4184396666666667,
42,67,28.7599999999994,0.8399999999999999,116621,536878210,491,0.20984,0.97478,0.087047,1.0009026197432995,0.423889,
43,67,28.7799999999994,0.8599999999999994,536884860,209577,434,0.215696,0.9699,0.072285,0.9962208066693848,0.4192936666666666,
44,67,28.7999999999994,0.879999999999999,65558,0,428,0.207461,0.971913,0.101443,0.9989722860715406,0.426939,
45,67,28.8199999999994,0.8999999999999986,536936130,133133,407,0.211975,0.967399,0.086681,0.9941367217777441,0.42201833333333333,
46,67,28.8399999999994,0.9199999999999982,0,86903,408,0.194956,0.97417,0.094855,0.9980042594403092,0.42132699999999995,
47,67,28.8599999999994,0.9399999999999977,0,86903,402,0.198677,0.965386,0.09272,0.989969533735761,0.41892766666666664,
